name,throw1,throw2,throw3,throw4,throw5,throw6,year
Stona,61.66,65.20,66.16,70.00,NA,NA,2024
Alekna,68.55,69.97,NA,68.88,68.49,NA,2024
Denny,66.89,69.31,68.39,NA,69.15,66.44,2024
Čeh,67.27,68.41,NA,66.36,66.34,NA,2024
Weißhaidinger,60.02,67.54,64.52,NA,64.43,NA,2024
Prüfer,65.79,65.58,65.68,67.41,NA,NA,2024
Ståhl,64.97,66.95,64.06,66.00,NA,NA,2024
Gudžius,66.45,65.02,NA,NA,NA,66.55,2024
Ståhl,63.72,68.90,65.16,66.10,67.03,64.58,2020
Pettersson,61.39,66.58,NA,66.24,67.39,65.39,2020
Weißhaidinger,62.92,66.65,67.07,66.86,NA,NA,2020
Denny,65.76,65.53,65.94,65.00,66.06,67.02,2020
Čeh,NA,62.95,NA,66.05,NA,66.37,2020
Gudžius,64.05,NA,63.82,64.11,62.81,NA,2020
Ortega,NA,61.06,63.51,NA,64.08,63.87,2020
Mattis,61.18,63.88,63.14,NA,62.39,NA,2020
Harting,62.38,66.34,NA,NA,64.77,68.37,2016
Małachowski,67.32,67.06,67.55,NA,65.51,65.38,2016
Jasinski,65.77,65.01,66.08,64.83,63.31,67.05,2016
Kupper,64.47,NA,62.88,NA,NA,66.58,2016
Kanter,65.10,63.01,64.45,63.73,NA,NA,2016
Weißhaidinger,NA,62.14,62.44,61.81,NA,NA,2016
Kővágó,64.50,NA,62.98,NA,NA,NA,2016
Parellis,61.00,60.82,63.72,NA,63.49,62.37,2016
Harting,67.79,NA,67.27,66.45,68.27,67.08,2012
Haddadi,68.18,64.09,67.28,66.98,NA,NA,2012
Kanter,65.07,65.79,66.02,65.96,68.03,66.99,2012
Alekna,67.38,NA,NA,66.07,NA,NA,2012
Małachowski,62.50,66.92,NA,67.19,NA,NA,2012
Wierig,63.34,63.98,NA,65.85,64.79,65.12,2012
Casañas,65.56,NA,NA,64.92,65.48,63.16,2012
Gowda,64.79,60.95,63.03,64.15,64.48,63.89,2012
Kanter,63.44,66.38,62.75,68.82,NA,65.98,2008
Małachowski,66.45,67.82,66.98,63.91,65.78,NA,2008
Alekna,NA,65.77,64.42,67.79,NA,67.18,2008
Harting,65.58,64.84,67.09,NA,NA,66.51,2008
Casañas,59.54,62.16,64.46,64.11,64.97,66.49,2008
Pishchalnikov,64.09,64.25,61.13,65.88,NA,NA,2008
Smith,64.61,65.31,64.36,64.25,NA,65.39,2008
Fazekas,62.25,63.43,62.49,NA,NA,59.34,2008
Alekna,69.89,NA,NA,NA,69.49,NA,2004
Kővágó,57.31,66.40,66.03,67.04,58.25,NA,2004
Tammert,66.66,NA,64.28,63.95,64.04,NA,2004
Kaptyukh,65.10,59.82,62.88,63.44,64.89,63.63,2004
Kruger,64.34,NA,61.01,62.53,NA,60.73,2004
Malone,62.80,60.34,NA,64.33,62.73,63.65,2004
Riedel,NA,62.80,NA,NA,NA,NA,2004
Alekna,58.55,67.54,68.73,66.64,69.30,64.78,2000
Riedel,65.18,NA,68.50,68.08,67.33,63.87,2000
Kruger,67.89,NA,68.19,68.06,NA,62.72,2000
Kaptyukh,58.93,64.50,67.59,64.42,65.07,66.70,2000
Setliff,60.50,66.02,64.72,65.10,63.10,61.99,2000
Tunks,59.59,64.58,65.35,NA,65.80,64.38,2000
Dubrovshchik,63.95,65.13,NA,64.32,NA,60.15,2000
Schult,NA,60.83,63.34,64.41,62.63,61.96,2000
Riedel,NA,NA,65.40,63.10,69.40,69.24,1996
Dubrovshchik,64.86,66.60,64.38,59.68,NA,NA,1996
Kaptyukh,63.24,64.00,65.80,NA,63.82,65.08,1996
Washington,65.42,NA,NA,61.34,NA,62.50,1996
Alekna,62.28,65.30,64.50,NA,64.54,63.74,1996
Schult,62.82,64.42,62.62,64.62,64.38,63.78,1996
Sidorov,63.44,NA,NA,62.76,63.78,62.82,1996
Kidykas,61.48,57.52,62.78,NA,61.68,61.88,1996
Ubartas,60.90,62.64,64.36,NA,65.12,NA,1992
Schult,64.26,63.54,63.84,63.38,64.94,63.08,1992
Moya,64.12,NA,NA,62.72,NA,62.02,1992
Grasu,59.90,60.50,62.18,62.86,62.40,NA,1992
Horváth,62.50,62.72,62.82,NA,62.56,62.06,1992
Martínez_Brito,61.72,61.30,61.86,62.64,62.10,NA,1992
Kovtsun,NA,60.04,60.58,NA,60.66,62.04,1992
Shevchenko,61.78,60.92,NA,NA,NA,NA,1992
Schult,68.82,67.92,65.76,68.18,65.70,68.26,1988
Ubartas,66.86,66.20,66.24,64.40,63.74,67.48,1988
Danneberg,65.58,63.60,NA,63.88,67.38,62.56,1988
Dumchev,64.00,63.74,63.54,63.66,62.86,66.42,1988
Wilkins,61.88,NA,65.12,63.84,65.90,62.96,1988
Valent,NA,63.36,62.46,62.80,64.28,65.80,1988
Hjeltnes,63.30,NA,64.10,64.94,63.22,NA,1988
Hannecker,60.28,62.50,63.28,60.94,61.54,NA,1988
Danneberg,64.74,NA,63.64,66.60,NA,66.22,1984
Wilkins,65.96,NA,65.20,NA,66.30,NA,1984
Powell,64.68,63.34,64.12,64.06,65.14,65.46,1984
Hjeltnes,64.72,62.40,65.28,63.78,62.50,64.32,1984
Burns,63.72,NA,NA,NA,63.32,64.98,1984
Wagner,61.82,62.76,62.70,63.94,61.16,64.72,1984
Zerbini,60.18,61.14,63.50,NA,NA,60.14,1984
Fernholm,63.08,NA,62.20,63.22,62.20,59.82,1984
