name,throw1,throw2,throw3,throw4,throw5,throw6,year
Tentoglou,8.27,8.48,8.24,8.36,8.31,NA,2024
Pinnock,7.84,8.36,7.99,8.05,8.24,8.12,2024
Furlani,8.34,8.25,NA,NA,8.34,8.27,2024
Ehammer,NA,8.20,8.11,7.92,NA,NA,2024
Fincham-Dukes,7.95,8.14,NA,NA,NA,7.64,2024
Batz,7.58,8.07,7.79,7.71,7.95,7.94,2024
Mingkun,7.81,NA,8.07,NA,7.93,NA,2024
Jianan,7.96,NA,7.92,NA,8.03,NA,2024
Tentoglou,8.11,NA,NA,8.10,8.15,8.41,2020
Echevarría,8.09,NA,8.41,6.71,NA,NA,2020
Massó,8.21,8.05,NA,NA,NA,NA,2020
Cáceres,7.96,8.09,NA,NA,8.12,8.18,2020
Harrison,7.57,7.70,7.96,7.87,8.15,7.49,2020
Hashioka,NA,7.95,7.97,NA,7.94,8.10,2020
Montler,8.08,7.93,NA,8.05,NA,NA,2020
Randazzo,NA,7.99,NA,NA,7.88,NA,2020
Henderson,8.20,7.94,8.10,7.96,8.22,8.38,2016
Manyonga,8.16,NA,NA,8.28,8.37,NA,2016
Rutherford,8.18,8.11,8.22,8.26,8.09,8.29,2016
Lawson,8.19,8.15,8.25,NA,NA,7.78,2016
Jianan,7.76,8.17,7.89,8.05,8.13,7.88,2016
Lasa,7.93,7.84,8.04,8.10,7.92,7.95,2016
Frayne,7.83,8.06,NA,8.03,7.83,7.83,2016
Gomis,7.54,7.57,8.05,NA,7.55,7.83,2016
Rutherford,6.28,8.21,8.14,8.31,NA,6.33,2012
Watt,NA,7.97,NA,NA,8.13,8.16,2012
Claye,7.98,8.07,7.93,8.12,7.96,NA,2012
Tornéus,7.63,7.80,8.07,8.11,8.07,7.98,2012
Bayer,7.87,NA,7.96,8.10,7.96,7.98,2012
Tomlinson,8.06,7.87,7.83,8.07,7.74,7.76,2012
da_Silva,NA,NA,7.96,8.01,NA,NA,2012
Mokoena,7.93,NA,7.62,NA,NA,NA,2012
Saladino,NA,8.17,8.21,8.34,NA,NA,2008
Mokoena,7.86,NA,8.02,8.24,NA,NA,2008
Camejo,7.94,8.09,8.08,7.88,7.93,8.20,2008
Makusha,8.19,8.06,8.05,8.10,8.05,6.48,2008
Badji,8.03,NA,8.02,8.16,8.03,7.92,2008
Méliz,NA,8.02,NA,NA,7.98,8.07,2008
Novotný,7.87,7.75,8.00,NA,7.82,7.94,2008
Phillips,8.59,NA,NA,NA,NA,8.35,2004
Moffitt,8.10,8.28,7.85,8.19,8.47,8.24,2004
Martínez,7.79,8.32,8.02,8.06,8.06,NA,2004
Beckford,8.15,8.15,8.31,8.12,NA,NA,2004
Tomlinson,8.25,8.04,8.11,8.09,8.05,7.92,2004
Gaisah,8.01,8.06,8.24,8.12,8.09,NA,2004
Pedroso,NA,8.19,NA,8.09,NA,8.23,2004
Ţăruş,8.21,NA,8.08,NA,NA,8.16,2004
Pedroso,NA,8.34,NA,8.41,NA,8.55,2000
Taurima,NA,8.18,8.34,8.40,8.49,8.28,2000
Shchurenko,7.76,NA,8.14,NA,NA,8.31,2000
Lukashevych,8.08,NA,NA,8.22,8.26,NA,2000
Prah,7.84,NA,8.19,7.95,NA,7.86,2000
Burge,7.80,8.06,7.93,7.96,8.15,8.11,2000
Méliz,7.97,7.94,8.08,NA,7.82,NA,2000
Phillips,NA,7.90,8.06,NA,NA,NA,2000
Lewis,NA,8.14,8.50,NA,8.06,NA,1996
Beckford,NA,8.02,8.13,NA,NA,8.29,1996
Greene,7.80,7.79,8.24,NA,NA,NA,1996
Bangué,8.19,8.10,NA,7.88,6.46,6.87,1996
Powell,7.89,8.17,7.99,NA,NA,NA,1996
Cankar,NA,NA,8.11,NA,NA,5.33,1996
Hlavatski,8.07,NA,8.07,NA,NA,NA,1996
Sunneborn,7.89,7.97,8.06,8.04,8.03,7.75,1996
Lewis,8.67,8.33,NA,NA,8.50,8.50,1992
Powell,7.95,8.22,8.33,NA,8.53,8.64,1992
Greene,NA,NA,7.88,8.34,8.14,NA,1992
Pedroso,7.79,8.11,8.01,7.98,8.11,7.51,1992
Jefferson,7.30,7.69,8.08,7.93,8.00,NA,1992
Koukodimos,7.30,7.99,7.92,8.04,7.88,7.50,1992
Bagryanov,7.79,5.74,NA,7.98,7.88,7.84,1992
Huang,7.33,7.58,7.87,7.79,7.55,7.65,1992
Lewis,8.41,8.56,8.52,8.72,8.52,NA,1988
Powell,8.23,8.11,8.49,NA,NA,NA,1988
Myricks,8.14,8.27,NA,8.17,NA,NA,1988
Evangelisti,7.84,8.08,7.63,NA,NA,NA,1988
Corgos,8.03,NA,NA,7.86,NA,7.99,1988
Szalma,NA,NA,8.00,NA,NA,NA,1988
Brige,7.87,NA,NA,7.97,NA,NA,1988
Volochine,7.87,7.78,NA,NA,NA,7.89,1988
Lewis,8.54,NA,NA,NA,NA,NA,1984
Honey,7.97,7.92,8.18,7.92,NA,8.24,1984
Evangelisti,8.09,7.94,7.90,NA,NA,8.24,1984
Myricks,8.06,7.99,NA,8.00,8.16,6.28,1984
Yuhuang,NA,7.66,7.89,7.65,7.60,7.99,1984
Wells,7.97,NA,NA,NA,NA,NA,1984
Usui,7.63,7.82,7.87,7.72,7.09,NA,1984
Jong-Il,7.76,7.81,7.77,NA,7.59,NA,1984
