name,throw1,throw2,throw3,throw4,throw5,throw6,year
Ogunleye,NA,19.55,NA,18.75,19.73,20.00,2024
Wesche,NA,19.58,18.54,19.10,19.86,19.68,2024
Jiayuan,16.43,18.88,18.78,19.32,NA,19.21,2024
Ross,19.28,NA,NA,NA,18.79,18.75,2024
Lijiao,19.09,19.06,NA,NA,19.27,19.00,2024
Schilder,NA,NA,18.91,NA,NA,NA,2024
Roos,18.47,18.78,NA,18.48,NA,18.13,2024
Inchude,18.16,18.41,NA,18.32,NA,NA,2024
Lijiao,19.95,NA,19.98,19.80,20.53,20.58,2020
Saunders,19.65,NA,19.62,19.49,19.79,NA,2020
Adams,18.62,19.49,19.62,NA,NA,18.76,2020
Dongmo,19.29,18.95,19.17,19.57,19.45,19.45,2020
Jiayuan,18.11,19.14,18.74,NA,NA,18.26,2020
Wesche,17.45,18.42,18.98,18.18,18.50,18.47,2020
Roos,17.99,18.02,18.91,NA,18.72,18.76,2020
Gambetta,18.37,18.04,18.88,NA,18.48,18.38,2020
Carter,19.12,19.82,19.44,19.87,19.84,20.63,2016
Adams,19.79,20.42,19.80,NA,NA,20.39,2016
Márton,17.60,18.72,19.39,19.38,19.10,19.87,2016
Lijiao,18.98,19.39,19.18,NA,NA,NA,2016
Saunders,18.88,NA,NA,NA,NA,19.35,2016
Schwanitz,19.03,NA,NA,NA,NA,18.92,2016
Borel,18.05,18.24,NA,17.94,18.37,NA,2016
Dubitskaya,18.00,18.23,NA,NA,NA,NA,2016
Adams,20.61,NA,20.70,NA,NA,20.24,2012
Lijiao,20.13,19.67,19.91,19.76,20.22,20.00,2012
Ling,18.87,18.77,19.28,NA,19.63,19.58,2012
Carter,19.05,18.83,18.92,19.42,19.12,18.88,2012
Xiangrong,19.18,18.88,18.74,NA,18.47,18.77,2012
Arcanjo,18.27,NA,19.02,NA,NA,17.19,2012
Vili,20.56,20.40,20.26,20.01,20.52,NA,2008
González,19.30,NA,19.01,19.23,19.50,NA,2008
Lijiao,18.45,18.75,18.90,18.92,19.04,19.20,2008
Omarova,19.08,18.21,NA,NA,NA,18.76,2008
Kleinert,18.30,18.68,19.01,18.99,NA,18.81,2008
Meiju,18.68,18.99,18.74,NA,18.85,19.00,2008
Cumbá,NA,18.39,18.74,NA,NA,19.59,2004
Kleinert,18.77,19.55,19.17,18.55,NA,NA,2004
Astapchuk,18.25,NA,19.01,NA,NA,NA,2004
Kharaneka,18.82,18.09,18.87,17.80,18.59,18.96,2004
Zabawska,NA,17.97,18.64,NA,18.60,NA,2004
González,17.33,18.25,18.59,18.52,NA,NA,2004
Korolchik,19.43,NA,18.76,19.11,NA,20.56,2000
Peleshenko,19.16,19.92,19.79,NA,NA,19.60,2000
Kumbernuss,19.38,19.24,18.73,18.76,18.89,19.62,2000
Krivelyova,18.84,18.60,19.04,19.12,19.37,19.36,2000
Zabawska,18.61,17.93,19.18,18.39,NA,17.16,2000
Cumbá,18.33,18.30,18.70,NA,NA,NA,2000
Ouzouni,18.45,NA,18.63,18.34,NA,17.09,2000
Kleinert-Schmitt,NA,18.49,18.33,NA,NA,NA,2000
Kumbernuss,20.56,NA,19.67,NA,NA,20.47,1996
Xinmei,19.06,18.95,19.88,19.24,19.21,19.43,1996
Khudoroshkina,19.35,NA,NA,NA,NA,NA,1996
Pavlysh,17.30,18.20,19.30,18.21,19.23,NA,1996
Price-Smith,18.44,18.61,19.22,NA,NA,NA,1996
Storp,18.91,NA,NA,18.06,18.25,19.06,1996
Neimke,17.87,18.40,18.92,NA,18.62,18.65,1996
Korzhanenko,18.43,NA,18.55,18.65,18.50,18.68,1996
Krivelyova,20.34,20.09,NA,19.99,20.89,21.06,1992
Zhihong,20.25,20.19,20.47,NA,20.11,20.44,1992
Neimke,19.61,18.56,19.56,19.22,NA,19.78,1992	
Laza,18.78,19.70,NA,NA,18.69,18.75,1992
Tianhua,19.11,18.66,18.64,19.26,18.34,18.57,1992
Mitkova,19.23,NA,NA,19.09,19.21,19.19,1992
Storp,17.58,19.10,19.08,NA,18.96,18.43,1992
Pavlysh,18.69,NA,NA,NA,18.61,NA,1992
Lisovskaya,21.69,21.49,21.24,21.74,21.11,22.24,1988
Neimke,19.64,20.07,19.82,20.37,20.72,21.07,1988
Meisu,19.99,20.03,20.72,20.49,21.06,20.84,1988
Müller,20.37,19.34,NA,NA,19.55,20.34,1988
Losch,20.08,NA,19.40,20.27,NA,NA,1988
Hartwig,19.94,20.20,19.71,20.16,NA,19.75,1988
Akhrimenko,19.37,19.86,19.18,NA,19.60,20.13,1988
Zhihong,18.26,19.15,19.82,19.79,19.73,19.56,1988
Losch,19.97,20.31,19.33,20.06,19.96,20.48,1984
Loghin,19.67,19.73,19.95,20.47,20.25,20.09,1984
Mulhall,18.10,19.19,18.75,18.53,NA,18.34,1984
Oakes,18.14,17.76,18.01,18.08,NA,17.81,1984
Meisu,17.37,NA,17.44,17.96,17.61,17.19,1984
Head,NA,17.90,NA,17.37,15.59,16.40,1984
Cady,17.22,17.23,17.10,16.83,16.32,17.19,1984
Crăciunescu,16.62,17.23,17.10,16.45,NA,17.05,1984
